brake,hand_brake,throttle,steer,distance,action
0.0,False,0.0,0.0,43.70600891,2.0
0.0,False,0.0,0.0,43.70600891,2.0
0.0,False,0.0,0.0,60.79465103,2.0
0.0,False,0.0,0.0,60.79465103,2.0
0.0,False,0.0,0.0,20.43494987,2.0
0.0,False,0.0,0.0,20.43494987,2.0
0.0,False,0.0,0.0,44.11598969,2.0
0.0,False,0.0,0.0,44.11598969,2.0
0.0,False,0.0,0.0,44.11598969,2.0
0.0,False,0.0,0.0,44.11598969,2.0
0.0,False,0.0,0.0,48.85443115,2.0
0.0,False,0.0,0.0,48.85443115,2.0
0.0,False,0.0,0.0,21.56064415,2.0
0.0,False,0.0,0.0,21.56064415,2.0
0.0,False,0.0,0.0,45.67697525,2.0
0.0,False,0.0,0.0,45.67697525,2.0
0.0,False,0.0,0.0,22.06436729,2.0
0.0,False,0.0,0.0,22.06436729,2.0
0.0,False,0.0,0.0,29.13745308,2.0
0.0,False,0.0,0.0,29.13745308,2.0
0.0,False,0.0,0.0,29.13750267,2.0
0.0,False,0.0,0.0,29.13750267,2.0
0.0,False,0.0,0.0,22.83551788,2.0
0.0,False,0.0,0.0,22.83551788,2.0
0.0,False,0.0,0.0,23.11398888,2.0
0.0,False,0.0,0.0,23.11398888,2.0
0.0,False,0.0,0.0,63.45982742,2.0
0.0,False,0.0,0.0,63.45982742,2.0
0.0,False,0.0,0.0,24.10419846,2.0
0.0,False,0.0,0.0,24.10419846,2.0
0.0,False,0.0,0.0,24.25001717,2.0
0.0,False,0.0,0.0,24.25001717,2.0
0.0,False,0.0,0.0,79.9604187,2.0
0.0,False,0.01,0.0,79.9604187,2.0
0.0,False,0.02,0.0,24.507837300000002,2.0
0.0,False,0.029999999,0.0,24.507837300000002,2.0
0.0,False,0.039999999,0.0,54.77124786,2.0
0.0,False,0.050000000999999995,0.0,54.77124786,2.0
0.0,False,0.060000002000000004,0.0,29.26030731,2.0
0.0,False,0.07,0.0,29.26030731,2.0
0.0,False,0.079999998,0.0,42.70392609,2.0
0.0,False,0.089999996,0.0,42.70392609,2.0
0.0,False,0.09999999400000001,0.0,63.45958328,2.0
0.0,False,0.10999999199999999,0.0,63.45958328,2.0
0.0,False,0.11999999,0.0,86.76161194,2.0
0.0,False,0.129999995,0.0,86.76161194,2.0
0.0,False,0.14000000099999999,0.0,26.32579803,2.0
0.0,False,0.150000006,0.0,26.32579803,2.0
0.0,False,0.160000011,0.0,29.92504501,2.0
0.0,False,0.170000017,0.0,29.92504501,2.0
0.0,False,0.18000002199999998,0.0,27.00717545,2.0
0.0,False,0.190000027,0.0,27.00717545,2.0
0.0,False,0.200000033,0.0,29.26028824,2.0
0.0,False,0.210000038,0.0,29.26028824,2.0
0.0,False,0.22000004399999998,0.0,86.76119995,2.0
0.0,False,0.23000004899999998,0.0,86.76119995,2.0
0.0,False,0.240000054,0.0,27.9072094,2.0
0.0,False,0.25000006,0.0,27.9072094,2.0
0.0,False,0.26000005,0.0,63.13830566,2.0
0.0,False,0.270000041,0.0,63.13830566,2.0
0.0,False,0.28000003100000004,0.0,28.56819916,2.0
0.0,False,0.290000021,0.0,28.56819916,2.0
0.0,False,0.300000012,0.0,28.7432785,2.0
0.0,False,0.310000002,0.0,28.7432785,2.0
0.0,False,0.319999993,0.0,29.12486839,2.0
0.0,False,0.329999983,0.0,29.12486839,2.0
0.0,False,0.339999974,0.0,60.79483795,2.0
0.0,False,0.349999964,0.0,60.79483795,2.0
0.0,False,0.359999955,0.0,29.26032066,2.0
0.0,False,0.369999945,0.0,29.26032066,2.0
0.0,False,0.37999993600000004,0.0,29.90841484,2.0
0.0,False,0.389999926,0.0,29.90841484,2.0
0.0,False,0.39999991700000004,0.0,29.92510986,2.0
0.0,False,0.40999990700000005,0.0,29.92510986,2.0
0.0,False,0.419999897,0.0,46.49779129,2.0
0.0,False,0.429999888,0.0,46.49779129,2.0
0.0,False,0.43999987799999996,0.0,30.9011097,2.0
0.0,False,0.449999869,0.0,30.9011097,2.0
0.0,False,0.459999859,0.0,31.15569687,2.0
0.0,False,0.46999985,0.0,31.15569687,2.0
0.0,False,0.47999984,0.0,31.15569687,2.0
0.0,False,0.489999831,0.0,31.15569687,2.0
0.0,False,0.499999821,0.0,31.64987755,2.0
0.0,False,0.509999812,0.0,31.64987755,2.0
0.0,False,0.5199998020000001,0.0,31.64987755,2.0
0.0,False,0.529999793,0.0,31.64987755,2.0
0.0,False,0.539999783,0.0,32.15961075,2.0
0.0,False,0.549999774,0.0,32.15961075,2.0
0.0,False,0.559999764,0.0,32.51940536,2.0
0.0,False,0.569999754,0.0,32.51940536,2.0
0.0,False,0.579999745,0.0,32.74536896,2.0
0.0,False,0.589999735,0.0,32.74536896,2.0
0.0,False,0.5999997260000001,0.0,32.96295929,2.0
0.0,False,0.609999716,0.0,32.96295929,2.0
0.0,False,0.6199997070000001,0.0,87.56990051,2.0
0.0,False,0.629999697,0.0,87.56990051,2.0
0.0,False,0.639999688,0.0,46.27865982,2.0
0.0,False,0.649999678,0.0,46.27865982,2.0
0.0,False,0.659999669,0.0,33.66127777,2.0
0.0,False,0.669999659,0.0,33.66127777,2.0
0.0,False,0.67999965,0.0,33.86504745,2.0
0.0,False,0.68999964,0.0,33.86504745,2.0
0.0,False,0.69999963,0.0,33.86504745,2.0
0.0,False,0.7099996209999999,0.0,33.86504745,2.0
0.0,False,0.719999611,0.0,34.19377136,2.0
0.0,False,0.729999602,0.0,34.19377136,2.0
0.0,False,0.739999592,0.0,34.36511993,2.0
0.0,False,0.749999583,0.0,34.36511993,2.0
0.0,False,0.759999573,0.0,34.52258301,2.0
0.0,False,0.769999564,0.0,34.52258301,2.0
0.0,False,0.7799995540000001,0.0,34.66173553,2.0
0.0,False,0.789999545,0.0,34.66173553,2.0
0.0,False,0.799999535,0.0,34.79787445,2.0
0.0,False,0.8099995259999999,0.0,34.79787445,2.0
0.0,False,0.819999516,0.0,34.9275322,2.0
0.0,False,0.8299995059999999,0.0,34.9275322,2.0
0.0,False,0.839999497,0.0,42.56806183,2.0
0.0,False,0.849999487,0.0,42.56806183,2.0
0.0,False,0.859999478,0.0,96.33980559999999,2.0
0.0,False,0.8699994679999999,0.0,96.33980559999999,2.0
0.0,False,0.8799994590000001,0.0,35.23498535,2.0
0.0,False,0.889999449,0.0,35.23498535,2.0
0.0,False,0.89999944,0.0,41.74337006,2.0
0.0,False,0.90999943,0.0,41.74337006,2.0
0.0,False,0.919999421,0.0,41.51371002,2.0
0.0,False,0.9299994109999999,0.0,41.51371002,2.0
0.0,False,0.939999402,0.0,77.11333466,2.0
0.0,False,0.949999392,0.0,77.11333466,2.0
0.0,False,0.959999382,0.0,35.50347137,2.0
0.0,False,0.9699993729999999,0.0,35.50347137,2.0
0.0,False,0.979999363,0.0,60.68912506,2.0
0.0,False,0.989999354,0.0,60.68912506,2.0
0.0,False,0.999999344,0.0,43.77915573,2.0
0.0,False,1.0,0.0,43.77915573,2.0
0.0,False,1.0,0.0,35.58025742,2.0
0.0,False,1.0,0.0,35.58025742,2.0
0.0,False,1.0,0.0,35.57212448,2.0
0.0,False,1.0,0.0,35.57212448,2.0
0.0,False,1.0,0.0,52.07225037,2.0
0.0,False,1.0,0.0,52.07225037,2.0
0.0,False,1.0,0.0,99.12171936,2.0
0.0,False,1.0,0.0,99.12171936,2.0
0.0,False,1.0,0.0,35.4731369,2.0
0.0,False,1.0,0.0,35.4731369,2.0
0.0,False,1.0,0.0,35.43967056,2.0
0.0,False,1.0,0.0,35.43967056,2.0
0.0,False,1.0,0.0,35.50430679,2.0
0.0,False,1.0,0.0,35.50430679,2.0
0.0,False,1.0,0.0,97.69934082,2.0
0.0,False,1.0,0.0,97.69934082,2.0
0.0,False,1.0,0.0,73.72340393,2.0
0.0,False,1.0,0.0,73.72340393,2.0
0.0,False,1.0,0.0,49.58392334,2.0
0.0,False,1.0,0.0,49.58392334,2.0
0.0,False,1.0,0.0,88.88228607,2.0
0.0,False,1.0,0.0,88.88228607,2.0
0.0,False,1.0,0.0,88.66033173,2.0
0.0,False,1.0,0.0,88.66033173,2.0
0.0,False,1.0,0.0,96.11968231,2.0
0.0,False,1.0,0.0,96.11968231,2.0
0.0,False,1.0,0.0,48.52549744,2.0
0.0,False,1.0,0.0,48.52549744,2.0
0.0,False,1.0,0.0,72.2514267,2.0
0.0,False,1.0,0.0,72.2514267,2.0
0.0,False,1.0,0.0,34.95715332,2.0
0.0,False,1.0,0.0,34.95715332,2.0
0.0,False,1.0,0.0,72.1889267,2.0
0.0,False,1.0,0.0,72.1889267,2.0
0.0,False,1.0,0.0,87.00331116,2.0
0.0,False,1.0,0.0,87.00331116,2.0
0.0,False,1.0,0.0,94.05233002,2.0
0.0,False,1.0,0.0,94.05233002,2.0
0.0,False,1.0,0.0,93.63164520000001,2.0
0.0,False,1.0,0.0,93.63164520000001,2.0
0.0,False,1.0,0.0,93.10900879,2.0
0.0,False,1.0,0.0,93.10900879,2.0
0.0,False,1.0,0.0,92.60369873,2.0
0.0,False,1.0,0.0,92.60369873,2.0
0.0,False,1.0,0.0,36.62526321,2.0
0.0,False,1.0,0.0,36.62526321,2.0
0.0,False,1.0,0.0,33.740291600000006,2.0
0.0,False,1.0,0.0,33.740291600000006,2.0
0.0,False,1.0,0.0,43.97625732,2.0
0.0,False,1.0,0.0,43.97625732,2.0
0.0,False,1.0,0.0,33.26171875,2.0
0.0,False,1.0,0.0,33.26171875,2.0
0.0,False,1.0,0.0,66.82192993,2.0
0.0,False,1.0,0.0,66.82192993,2.0
0.0,False,1.0,0.0,90.02258301,2.0
0.0,False,1.0,0.0,90.02258301,2.0
0.0,False,1.0,0.0,32.41920471,2.0
0.0,False,1.0,0.0,32.41920471,2.0
0.0,False,1.0,0.0,32.41920471,2.0
0.0,False,1.0,0.0,32.41920471,2.0
0.0,False,1.0,0.0,89.73228455,2.0
0.0,False,1.0,0.0,89.73228455,2.0
0.0,False,1.0,0.0,31.63916397,2.0
0.0,False,1.0,0.0,31.63916397,2.0
0.0,False,1.0,0.0,89.00656891,2.0
0.0,False,1.0,0.0,89.00656891,2.0
0.0,False,1.0,0.0,88.57194519,2.0
0.0,False,1.0,0.0,88.57194519,2.0
0.0,False,1.0,0.0,88.03250885,2.0
0.0,False,1.0,0.0,88.03250885,2.0
0.0,False,1.0,0.0,60.96964264,2.0
0.0,False,1.0,0.0,60.96964264,2.0
0.0,False,1.0,0.0,45.75340652,2.0
0.0,False,1.0,0.0,45.75340652,2.0
0.0,False,1.0,0.0,86.01958466,2.0
0.0,False,1.0,0.0,86.01958466,2.0
0.0,False,1.0,0.0,88.02478027,2.0
0.0,False,1.0,0.0,88.02478027,2.0
0.0,False,1.0,0.0,84.88493347,2.0
0.0,False,1.0,0.0,84.88493347,2.0
0.0,False,1.0,0.0,28.08425713,2.0
0.0,False,1.0,0.0,28.08425713,2.0
0.0,False,1.0,0.0,84.28858948,2.0
0.0,False,1.0,0.0,84.28858948,2.0
0.0,False,1.0,0.0,83.60832977,2.0
0.0,False,1.0,0.0,83.60832977,2.0
0.0,False,1.0,0.0,56.92630768,2.0
0.0,False,1.0,0.0,56.92630768,2.0
0.0,False,1.0,0.0,81.47748566,2.0
0.0,False,1.0,0.0,81.47748566,2.0
0.0,False,1.0,0.0,80.80730438,2.0
0.0,False,1.0,0.0,80.80730438,2.0
0.0,False,1.0,0.0,79.54309845,2.0
0.0,False,1.0,0.0,79.54309845,2.0
0.0,False,1.0,0.0,76.29356384,2.0
0.0,False,1.0,0.0,76.29356384,2.0
0.0,False,1.0,0.0,78.47922516,2.0
0.0,False,1.0,0.0,78.47922516,2.0
0.0,False,1.0,0.0,75.56234741,2.0
0.0,False,1.0,0.0,75.56234741,2.0
0.0,False,1.0,0.0,68.39487457,2.0
0.0,False,1.0,0.0,68.39487457,2.0
0.0,False,1.0,0.0,76.33314514,2.0
0.0,False,1.0,0.0,76.33314514,2.0
0.0,False,1.0,0.0,45.11968994,2.0
0.0,False,1.0,0.0,45.11968994,2.0
0.0,False,1.0,0.0,73.9899292,2.0
0.0,False,1.0,0.0,73.9899292,2.0
0.0,False,1.0,0.0,72.69216919,2.0
0.0,False,1.0,0.0,72.69216919,2.0
0.0,False,1.0,0.0,72.5743103,2.0
0.0,False,1.0,0.0,72.5743103,2.0
0.0,False,1.0,0.0,71.61828613,2.0
0.0,False,1.0,0.0,71.61828613,2.0
0.0,False,1.0,0.0,70.87339783,2.0
0.0,False,1.0,0.0,70.87339783,2.0
0.0,False,1.0,0.0,70.10739899,2.0
0.0,False,1.0,0.0,70.10739899,2.0
0.0,False,1.0,0.0,69.32740021,2.0
0.0,False,1.0,0.0,69.32740021,2.0
0.0,False,1.0,0.0,68.70372772,2.0
0.0,False,0.0,0.0,68.70372772,2.0
0.0,False,0.0,0.0,66.15218353,2.0
0.0,False,0.0,0.0,66.15218353,2.0
0.0,False,0.0,0.0,17.57896042,2.0
0.0,False,0.0,0.0,17.57896042,2.0
0.0,False,0.0,0.0,68.98730469,2.0
0.0,False,0.0,0.0,68.98730469,2.0
0.0,False,0.0,0.0,31.766351699999998,2.0
0.200000003,False,0.0,0.0,31.766351699999998,2.0
0.400000006,False,0.0,0.0,67.29922485,2.0
0.600000024,False,0.0,0.0,67.29922485,2.0
0.800000012,False,0.0,0.0,15.19241524,1.0
1.0,False,0.0,0.0,15.19241524,1.0
1.0,False,0.0,0.0,29.90406609,2.0
1.0,False,0.0,0.0,29.90406609,2.0
1.0,False,0.0,0.0,64.13897705,2.0
1.0,False,0.0,0.0,64.13897705,2.0
1.0,False,0.0,0.0,63.37585831,2.0
1.0,False,0.0,0.0,63.37585831,2.0
1.0,False,0.0,0.0,64.01215363,2.0
1.0,False,0.0,0.0,64.01215363,2.0
1.0,False,0.0,0.0,61.7218399,2.0
1.0,False,0.0,0.0,61.7218399,2.0
1.0,False,0.0,0.0,12.0534296,1.0
0.0,False,0.0,0.0,12.0534296,1.0
0.0,False,0.0,0.0,11.73081398,1.0
0.0,False,0.0,0.0,11.73081398,1.0
0.0,False,0.0,0.0,58.96028519,2.0
0.0,False,0.0,0.0,58.96028519,2.0
0.0,False,0.0,0.0,54.36253357,2.0
0.0,False,0.0,0.0,54.36253357,2.0
0.200000003,False,0.0,0.0,26.29127693,2.0
0.400000006,False,0.0,0.0,26.29127693,2.0
0.600000024,False,0.0,0.0,57.99201965,2.0
0.800000012,False,0.0,0.0,57.99201965,2.0
1.0,False,0.0,0.0,25.71731377,2.0
1.0,False,0.0,0.0,25.71731377,2.0
1.0,False,0.0,0.0,52.50646973,2.0
0.0,False,0.0,0.0,52.50646973,2.0
0.0,False,0.0,0.0,10.1052227,1.0
0.0,False,0.0,0.0,10.1052227,1.0
0.0,False,0.01,0.0,10.1052227,1.0
0.0,False,0.02,0.0,10.1052227,1.0
0.0,False,0.029999999,0.0,28.26229668,2.0
0.0,False,0.039999999,0.0,28.26229668,2.0
0.0,False,0.050000000999999995,0.0,53.34029770000001,2.0
0.0,False,0.060000002000000004,0.0,53.34029770000001,2.0
0.0,False,0.07,0.0,28.45616722,2.0
0.0,False,0.079999998,0.0,28.45616722,2.0
0.0,False,0.089999996,0.0,55.01948929,2.0
0.0,False,0.09999999400000001,0.0,55.01948929,2.0
0.0,False,0.10999999199999999,0.0,24.02024651,2.0
0.0,False,0.11999999,0.0,24.02024651,2.0
0.0,False,0.129999995,0.0,55.78910065,2.0
0.0,False,0.14000000099999999,0.0,55.78910065,2.0
0.0,False,0.150000006,0.0,55.37806702,2.0
0.0,False,0.160000011,0.0,55.37806702,2.0
0.0,False,0.170000017,0.0,8.422422409,1.0
0.0,False,0.18000002199999998,0.0,8.422422409,1.0
0.0,False,0.190000027,0.0,84.17858887,2.0
0.0,False,0.200000033,0.0,84.17858887,2.0
0.0,False,0.210000038,0.0,23.61188126,2.0
0.0,False,0.22000004399999998,0.0,23.61188126,2.0
0.0,False,0.23000004899999998,0.0,23.55805397,2.0
0.0,False,0.240000054,0.0,23.55805397,2.0
0.0,False,0.25000006,0.0,23.514949800000004,2.0
0.0,False,0.26000005,0.0,23.514949800000004,2.0
0.0,False,0.270000041,0.0,23.47635269,2.0
0.0,False,0.28000003100000004,0.0,23.47635269,2.0
0.0,False,0.290000021,0.0,24.328800199999996,2.0
0.0,False,0.300000012,0.0,24.328800199999996,2.0
0.0,False,0.310000002,0.0,8.220578194,1.0
0.0,False,0.319999993,0.0,8.220578194,1.0
0.0,False,0.329999983,0.0,8.209524155,1.0
0.0,False,0.339999974,0.0,8.209524155,1.0
0.0,False,0.349999964,0.0,8.270817757,1.0
0.0,False,0.359999955,0.0,8.270817757,1.0
0.0,False,0.369999945,0.0,8.215240479,1.0
0.0,False,0.37999993600000004,0.0,8.215240479,1.0
0.0,False,0.389999926,0.0,72.79508972,2.0
0.0,False,0.39999991700000004,0.0,72.79508972,2.0
0.0,False,0.40999990700000005,0.0,8.637745857,1.0
0.0,False,0.419999897,0.0,8.637745857,1.0
0.0,False,0.429999888,0.0,92.83054352,2.0
0.0,False,0.43999987799999996,0.0,92.83054352,2.0
0.0,False,0.449999869,0.0,23.23208046,2.0
0.0,False,0.459999859,0.0,23.23208046,2.0
0.0,False,0.46999985,0.0,36.47341537,2.0
0.0,False,0.47999984,0.0,36.47341537,2.0
0.0,False,0.489999831,0.0,8.229860306,1.0
0.0,False,0.499999821,0.0,8.229860306,1.0
0.0,False,0.509999812,0.0,84.02964783,2.0
0.0,False,0.5199998020000001,0.0,84.02964783,2.0
0.0,False,0.529999793,0.0,53.07581329,2.0
0.0,False,0.539999783,0.0,53.07581329,2.0
0.0,False,0.549999774,0.0,37.04185104,2.0
0.0,False,0.559999764,0.0,37.04185104,2.0
0.0,False,0.569999754,0.0,24.3090229,2.0
0.0,False,0.579999745,0.0,24.3090229,2.0
0.0,False,0.589999735,0.0,24.3090229,2.0
0.0,False,0.5999997260000001,0.0,24.3090229,2.0
0.0,False,0.609999716,0.0,23.24271584,2.0
0.0,False,0.6199997070000001,0.0,23.24271584,2.0
0.0,False,0.629999697,0.0,23.0000267,2.0
0.0,False,0.639999688,0.0,23.0000267,2.0
0.0,False,0.649999678,0.0,24.295240399999997,2.0
0.0,False,0.659999669,0.0,24.295240399999997,2.0
0.0,False,0.669999659,0.0,23.17059326,2.0
0.0,False,0.67999965,0.0,23.17059326,2.0
0.0,False,0.68999964,0.0,50.15093231,2.0
